SK_ID_CURR,TARGET
342180,0.18
259636,0.05
305882,0.1
243264,0.03
264946,0.04
322594,0.08
217184,0.07
135206,0.07
448415,0.15
247643,0.22
250538,0.04
192640,0.09
150775,0.03
441698,0.01
454773,0.02
420257,0.21
409451,0.08
290682,0.22
453864,0.05
202974,0.1
134886,0.01
225942,0.01
430212,0.07
313633,0.07
360886,0.05
196960,0.01
393435,0.03
248821,0.07
372036,0.2
269025,0.09
190487,0.03
156378,0.04
191151,0.34
321612,0.03
407064,0.02
288606,0.08
421351,0.08
120833,0.09
132310,0.09
133233,0.09
229106,0.07
299262,0.03
206288,0.08
209711,0.0
437368,0.26
396039,0.09
253258,0.07
328912,0.04
170443,0.08
355956,0.27
129202,0.1
106066,0.19
150261,0.25
314538,0.11
195899,0.27
202708,0.11
355452,0.01
270073,0.02
399132,0.3
364865,0.0
417633,0.13
318965,0.07
192845,0.07
279521,0.05
399839,0.08
312854,0.15
312090,0.13
449813,0.09
306709,0.07
276605,0.08
327211,0.12
286461,0.01
197375,0.04
120994,0.03
119216,0.04
267909,0.05
232229,0.03
293867,0.06
269390,0.19
281758,0.09
433863,0.08
359495,0.06
341649,0.11
388004,0.04
222236,0.2
380313,0.06
449463,0.06
243957,0.07
300290,0.21
130425,0.04
277002,0.07
311546,0.07
407499,0.05
308896,0.08
289717,0.05
262797,0.13
435895,0.05
432168,0.17
251993,0.06
120353,0.05
108976,0.02
289727,0.04
199195,0.2
288441,0.15
395045,0.17
451426,0.24
393996,0.02
193824,0.17
214987,0.15
441856,0.06
264311,0.05
364627,0.06
291950,0.02
105261,0.07
153888,0.01
397271,0.0
342809,0.05
169459,0.02
329344,0.03
421329,0.04
176037,0.02
324930,0.07
438207,0.14
252683,0.1
439597,0.02
200828,0.09
122090,0.01
216631,0.02
365737,0.24
237572,0.1
318778,0.11
205530,0.06
319946,0.2
113757,0.16
453662,0.06
250099,0.06
366464,0.02
198301,0.03
240648,0.1
295455,0.01
298271,0.02
120883,0.11
224156,0.09
143159,0.34
455423,0.1
122524,0.04
128333,0.06
371649,0.14
368814,0.01
420221,0.04
263454,0.1
161038,0.01
384632,0.03
429616,0.05
142389,0.2
322273,0.19
412935,0.04
166007,0.03
308269,0.02
369059,0.04
381493,0.13
339048,0.06
100782,0.1
181930,0.1
126805,0.06
110322,0.14
314740,0.05
384746,0.02
389502,0.07
286846,0.06
285815,0.07
434906,0.12
126799,0.06
192210,0.12
155898,0.02
139433,0.04
257791,0.03
390074,0.13
350504,0.16
292398,0.04
436614,0.06
356309,0.03
441569,0.04
360682,0.05
441499,0.04
338746,0.04
238412,0.17
294110,0.04
123850,0.05
273916,0.04
139801,0.04
277891,0.06
230345,0.11
446217,0.07
349197,0.15
243239,0.04
122010,0.06
347206,0.12
254772,0.04
359223,0.15
194989,0.04
344413,0.08
370335,0.07
336770,0.18
453221,0.13
329255,0.02
408896,0.1
351578,0.37
107486,0.06
377546,0.06
237360,0.1
221915,0.03
185870,0.03
275036,0.05
225751,0.36
277492,0.1
342786,0.05
411686,0.07
197379,0.04
121166,0.19
287596,0.09
357523,0.04
308274,0.06
226362,0.27
247513,0.02
400064,0.22
414649,0.03
170971,0.02
272357,0.13
339908,0.05
383874,0.25
412121,0.2
242293,0.23
195302,0.09
422920,0.05
196929,0.03
365149,0.05
159514,0.32
334233,0.04
332965,0.09
319660,0.03
115672,0.18
119196,0.05
435763,0.13
259907,0.07
263039,0.04
275861,0.05
366872,0.01
324767,0.07
126033,0.05
137686,0.15
238619,0.06
126244,0.13
218020,0.06
144396,0.14
339379,0.14
144024,0.08
375422,0.05
119933,0.16
427996,0.21
156225,0.02
306859,0.02
156648,0.1
312374,0.05
302124,0.08
426626,0.08
392163,0.1
397965,0.0
100218,0.05
254857,0.17
265400,0.07
233907,0.04
329405,0.22
164912,0.2
208325,0.03
396907,0.02
119828,0.12
327404,0.08
314008,0.05
366058,0.08
425169,0.01
433321,0.11
429254,0.13
263088,0.06
396105,0.01
383668,0.13
258078,0.05
227972,0.13
161426,0.14
421437,0.22
127106,0.03
315369,0.07
203913,0.1
292682,0.03
349191,0.04
221160,0.1
456127,0.04
288545,0.17
274535,0.07
382441,0.06
286483,0.26
194494,0.1
339887,0.24
150101,0.12
145706,0.03
150342,0.18
195272,0.16
107687,0.05
446661,0.13
232928,0.2
139394,0.08
189211,0.06
215111,0.05
136376,0.05
321215,0.27
158396,0.04
264559,0.03
163958,0.16
382182,0.03
263525,0.05
128176,0.11
358926,0.18
318487,0.09
427242,0.04
396184,0.19
373698,0.34
258680,0.01
222809,0.04
291118,0.14
326010,0.08
414914,0.1
145431,0.06
114564,0.09
403986,0.26
145994,0.15
197090,0.11
216286,0.05
350660,0.05
450249,0.18
354147,0.04
156824,0.12
362212,0.07
325444,0.07
309265,0.2
178941,0.01
189373,0.14
372252,0.07
201725,0.08
452910,0.12
424579,0.08
425202,0.2
346929,0.09
111954,0.09
445205,0.17
219726,0.07
147291,0.0
194750,0.07
392366,0.04
133790,0.07
215080,0.04
108751,0.04
348366,0.04
315200,0.05
255138,0.1
139712,0.06
333959,0.09
278164,0.08
155875,0.11
299340,0.36
224935,0.08
146446,0.18
407893,0.25
180032,0.33
336006,0.19
194663,0.02
198067,0.11
413210,0.02
167679,0.12
103791,0.07
240696,0.1
111837,0.12
349809,0.09
155446,0.21
196513,0.12
199601,0.06
428315,0.3
193101,0.07
211456,0.16
418736,0.12
112351,0.25
156588,0.11
247747,0.08
135509,0.03
196534,0.01
227805,0.13
228757,0.04
186550,0.09
177346,0.02
109153,0.22
189121,0.04
198538,0.07
288423,0.15
420203,0.07
345198,0.04
210322,0.05
389005,0.01
320684,0.02
302802,0.21
236903,0.12
106288,0.16
117058,0.05
288627,0.24
130697,0.04
450071,0.09
243623,0.06
134589,0.3
170700,0.14
317715,0.07
435004,0.29
176056,0.0
429112,0.31
394578,0.04
179003,0.07
282623,0.16
438503,0.03
233585,0.04
185112,0.2
438457,0.03
388957,0.18
236160,0.18
113022,0.18
183206,0.01
224398,0.04
405987,0.07
